Feature,Corr_Score,Abs_Correlation,RF_Score,Importance,MI_Score_Norm,MI_Score,Composite_Score
ST322,0.2567180182048152,0.11245137264446578,8.214237940343106e-05,1.7289313478367975e-05,0.5270752676467306,0.4024843324212819,0.26129180941031643
ST345,0.3129015574866011,0.13706170641239207,5.4528166686404504e-05,1.14770788731568e-05,0.4695933215637499,0.3585900651019678,0.2608498024056791
ST354,0.20715229537132973,0.09073987141164722,3.441616281762549e-05,7.243907858500928e-06,0.5703403475854409,0.4355223402451598,0.2591756863731961
ST230,0.36089626372537087,0.15808504803039908,3.3761271487524414e-05,7.10606644725116e-06,0.41319957801966567,0.3155267691814112,0.25804320100550804
math_q2_total_timing,0.057956738417680884,0.02538705632989424,0.002606905649059575,0.0005487010396150844,0.7071364817101708,0.5399823748941515,0.2559000419256371
ST311,0.28940257880745723,0.12676834084852845,4.498764719122317e-05,9.468992018397622e-06,0.4651712373782195,0.3552132805883055,0.2515396012776227
IC171,0.20461118237366496,0.08962677601370707,0.0003060443672771321,6.441616425737605e-05,0.5427133023071424,0.41442582223691726,0.2492101763493615
ST283,0.172693420773246,0.07564569229856871,6.809267071756035e-05,1.4332133280838635e-05,0.5575151379903878,0.42572877519120667,0.2434255504781171
math_q5_total_timing,0.028662176585307172,0.012555024857758126,0.0016997774007199303,0.00035776884645813954,0.6928753614986654,0.5290923221820698,0.24107910516156417
math_q10_total_timing,0.20722465487425248,0.09077156737706653,0.002401714841487648,0.0005055125147542822,0.508884420407274,0.3885934681429424,0.23950359670767138
math_q9_total_timing,0.12476420091764474,0.054651035981766204,0.0018362959662027497,0.00038650324995839877,0.5878186797618268,0.4488691149653219,0.23813972554855808
reading_q3_average_score,0.3695713367816427,0.16188503012667133,0.0007039358541496448,0.00014816429399106944,0.3419796620443965,0.2611419363198957,0.23741831156006296
IC170,0.17850703227657097,0.07819225524783928,0.00033888298475550217,7.132803065208191e-05,0.5292366526218253,0.4041348055931504,0.23602752262771723
ST250,0.19175156050747827,0.08399381678219818,0.001661472750058237,0.0003497064903664468,0.5091214356689017,0.38877445733975247,0.2341781563088127
ST343,0.22053701503028258,0.09660284164114544,6.051899112548331e-05,1.2738026540771785e-05,0.47341805395093894,0.36151070083663406,0.2313385293241157
reading_q5_average_score,0.3638074056712488,0.15936022890810309,0.0008324594756713689,0.00017521592310143085,0.32789688396704053,0.2503880689293645,0.23084558303798688
science_q5_average_score,0.33731256179019575,0.14775457074955411,0.0014501363254624143,0.0003052244371221743,0.3476744519845914,0.2654905822686846,0.22881238336674983
